geo,time,na_item,values
AT,1998-10-01,FinConsExpHH,29976.8
AT,1999-01-01,FinConsExpHH,30214.2
AT,1999-04-01,FinConsExpHH,30385.9
AT,1999-07-01,FinConsExpHH,30568.3
AT,1999-10-01,FinConsExpHH,30825.4
AT,2000-01-01,FinConsExpHH,31117.5
AT,2000-04-01,FinConsExpHH,31529.8
AT,2000-07-01,FinConsExpHH,31407.8
AT,2000-10-01,FinConsExpHH,31709.3
AT,2001-01-01,FinConsExpHH,31910.3
AT,2001-04-01,FinConsExpHH,31764.3
AT,2001-07-01,FinConsExpHH,31659.2
AT,2001-10-01,FinConsExpHH,32064
AT,2002-01-01,FinConsExpHH,31819.2
AT,2002-04-01,FinConsExpHH,31991.5
AT,2002-07-01,FinConsExpHH,32138.6
AT,2002-10-01,FinConsExpHH,32360.9
AT,2003-01-01,FinConsExpHH,32476.4
AT,2003-04-01,FinConsExpHH,32599.3
AT,2003-07-01,FinConsExpHH,32774
AT,2003-10-01,FinConsExpHH,32732.6
AT,2004-01-01,FinConsExpHH,32966.7
AT,2004-04-01,FinConsExpHH,33331.6
AT,2004-07-01,FinConsExpHH,33415.5
AT,2004-10-01,FinConsExpHH,33855.3
AT,2005-01-01,FinConsExpHH,33636.3
AT,2005-04-01,FinConsExpHH,34209.5
AT,2005-07-01,FinConsExpHH,34461.1
AT,2005-10-01,FinConsExpHH,34356.1
AT,2006-01-01,FinConsExpHH,34748.9
AT,2006-04-01,FinConsExpHH,34690.7
AT,2006-07-01,FinConsExpHH,35005.6
AT,2006-10-01,FinConsExpHH,35114
AT,2007-01-01,FinConsExpHH,35012.5
AT,2007-04-01,FinConsExpHH,35348.4
AT,2007-07-01,FinConsExpHH,35260.9
AT,2007-10-01,FinConsExpHH,35522.6
AT,2008-01-01,FinConsExpHH,35899
AT,2008-04-01,FinConsExpHH,35618.5
AT,2008-07-01,FinConsExpHH,35439.2
AT,2008-10-01,FinConsExpHH,35554.8
AT,2009-01-01,FinConsExpHH,35538.8
AT,2009-04-01,FinConsExpHH,36161.4
AT,2009-07-01,FinConsExpHH,36129.6
AT,2009-10-01,FinConsExpHH,35809.3
AT,2010-01-01,FinConsExpHH,35993.6
AT,2010-04-01,FinConsExpHH,35907.7
AT,2010-07-01,FinConsExpHH,36652.3
AT,2010-10-01,FinConsExpHH,36542.5
AT,2011-01-01,FinConsExpHH,36389.7
AT,2011-04-01,FinConsExpHH,36684.2
AT,2011-07-01,FinConsExpHH,36839.7
AT,2011-10-01,FinConsExpHH,37225
AT,2012-01-01,FinConsExpHH,37351.7
AT,2012-04-01,FinConsExpHH,37075.8
AT,2012-07-01,FinConsExpHH,36834.7
AT,2012-10-01,FinConsExpHH,36737.2
AT,2013-01-01,FinConsExpHH,36915.9
AT,2013-04-01,FinConsExpHH,36928.7
AT,2013-07-01,FinConsExpHH,36932.5
AT,2013-10-01,FinConsExpHH,37060.6
AT,2014-01-01,FinConsExpHH,37118.9
AT,2014-04-01,FinConsExpHH,37053.4
AT,2014-07-01,FinConsExpHH,37170.6
AT,2014-10-01,FinConsExpHH,36960.1
AT,2015-01-01,FinConsExpHH,37143.2
AT,2015-04-01,FinConsExpHH,37073.8
AT,2015-07-01,FinConsExpHH,37274.7
AT,2015-10-01,FinConsExpHH,37531.4
AT,2016-01-01,FinConsExpHH,37335.1
AT,2016-04-01,FinConsExpHH,37796.1
AT,2016-07-01,FinConsExpHH,37885.2
AT,2016-10-01,FinConsExpHH,38367.8
AT,2017-01-01,FinConsExpHH,38348.8
AT,2017-04-01,FinConsExpHH,38533.1
AT,2017-07-01,FinConsExpHH,38969.4
AT,2017-10-01,FinConsExpHH,38595.4
AT,2018-01-01,FinConsExpHH,39124.4
AT,2018-04-01,FinConsExpHH,39017.3
AT,2018-07-01,FinConsExpHH,38830.8
AT,2018-10-01,FinConsExpHH,39226.7
AT,2019-01-01,FinConsExpHH,39337.5
AT,2019-04-01,FinConsExpHH,39165.9
AT,2019-07-01,FinConsExpHH,39193.9
AT,2019-10-01,FinConsExpHH,39390.4
AT,2020-01-01,FinConsExpHH,37677.1
