"08792: External trade in goods, main figures (NOK million), by trade flow, month and contents"

"trade flow";"month";"Value"
"Exports of ships and oil platforms";"1997M09";1120
"Exports of ships and oil platforms";"1997M10";471
"Exports of ships and oil platforms";"1997M11";348
"Exports of ships and oil platforms";"1997M12";1315
"Exports of ships and oil platforms";"1998M01";738
"Exports of ships and oil platforms";"1998M02";136
"Exports of ships and oil platforms";"1998M03";1014
"Exports of ships and oil platforms";"1998M04";423
"Exports of ships and oil platforms";"1998M05";1082
"Exports of ships and oil platforms";"1998M06";1572
"Exports of ships and oil platforms";"1998M07";610
"Exports of ships and oil platforms";"1998M08";755
"Exports of ships and oil platforms";"1998M09";283
"Exports of ships and oil platforms";"1998M10";566
"Exports of ships and oil platforms";"1998M11";259
"Exports of ships and oil platforms";"1998M12";981
"Exports of ships and oil platforms";"1999M01";412
"Exports of ships and oil platforms";"1999M02";671
"Exports of ships and oil platforms";"1999M03";658
"Exports of ships and oil platforms";"1999M04";439
"Exports of ships and oil platforms";"1999M05";378
"Exports of ships and oil platforms";"1999M06";2024
"Exports of ships and oil platforms";"1999M07";268
"Exports of ships and oil platforms";"1999M08";2893
"Exports of ships and oil platforms";"1999M09";155
"Exports of ships and oil platforms";"1999M10";2055
"Exports of ships and oil platforms";"1999M11";1136
"Exports of ships and oil platforms";"1999M12";579
"Exports of ships and oil platforms";"2000M01";366
"Exports of ships and oil platforms";"2000M02";170
"Exports of ships and oil platforms";"2000M03";171
"Exports of ships and oil platforms";"2000M04";287
"Exports of ships and oil platforms";"2000M05";531
"Exports of ships and oil platforms";"2000M06";663
"Exports of ships and oil platforms";"2000M07";229
"Exports of ships and oil platforms";"2000M08";1594
"Exports of ships and oil platforms";"2000M09";1137
"Exports of ships and oil platforms";"2000M10";1181
"Exports of ships and oil platforms";"2000M11";299
"Exports of ships and oil platforms";"2000M12";1170
"Exports of ships and oil platforms";"2001M01";752
"Exports of ships and oil platforms";"2001M02";526
"Exports of ships and oil platforms";"2001M03";516
"Exports of ships and oil platforms";"2001M04";856
"Exports of ships and oil platforms";"2001M05";1257
"Exports of ships and oil platforms";"2001M06";41
"Exports of ships and oil platforms";"2001M07";2238
"Exports of ships and oil platforms";"2001M08";879
"Exports of ships and oil platforms";"2001M09";554
"Exports of ships and oil platforms";"2001M10";82
"Exports of ships and oil platforms";"2001M11";1086
"Exports of ships and oil platforms";"2001M12";3471
"Exports of ships and oil platforms";"2002M01";189
"Exports of ships and oil platforms";"2002M02";557
"Exports of ships and oil platforms";"2002M03";2619
"Exports of ships and oil platforms";"2002M04";1213
"Exports of ships and oil platforms";"2002M05";171
"Exports of ships and oil platforms";"2002M06";1393
"Exports of ships and oil platforms";"2002M07";63
"Exports of ships and oil platforms";"2002M08";265
"Exports of ships and oil platforms";"2002M09";709
"Exports of ships and oil platforms";"2002M10";409
"Exports of ships and oil platforms";"2002M11";95
"Exports of ships and oil platforms";"2002M12";934
"Exports of ships and oil platforms";"2003M01";789
"Exports of ships and oil platforms";"2003M02";622
"Exports of ships and oil platforms";"2003M03";515
"Exports of ships and oil platforms";"2003M04";545
"Exports of ships and oil platforms";"2003M05";1113
"Exports of ships and oil platforms";"2003M06";521
"Exports of ships and oil platforms";"2003M07";785
"Exports of ships and oil platforms";"2003M08";674
"Exports of ships and oil platforms";"2003M09";463
"Exports of ships and oil platforms";"2003M10";3766
"Exports of ships and oil platforms";"2003M11";532
"Exports of ships and oil platforms";"2003M12";2497
"Exports of ships and oil platforms";"2004M01";1078
"Exports of ships and oil platforms";"2004M02";507
"Exports of ships and oil platforms";"2004M03";679
"Exports of ships and oil platforms";"2004M04";1152
"Exports of ships and oil platforms";"2004M05";1110
"Exports of ships and oil platforms";"2004M06";142
"Exports of ships and oil platforms";"2004M07";110
