time,exports_of_goods,exports_of_services,q_2,q_3,q_4,L.exports_of_goods,L.exports_of_services,DL.exports_of_goods,DL.exports_of_services,goods.fitted,services.fitted,goods.fitted.cumsum,services.fitted.cumsum,goods.fitted.level,services.fitted.level
2012-07-01,30912.8,12090.6,0,1,0,10.33892561659455,9.400183570168984,0.007878838477191508,-0.0045139724854710295,0.004083678018224769,0.010886621083567478,10.340446475127226,9.375815777212033,30959.849764598028,11799.539416736752
2012-10-01,30831.4,12387.2,0,0,1,10.336288930163807,9.42441896038333,-0.00263668643074233,0.024235390214345287,0.009251400362475216,0.015023526715509723,10.349697875489701,9.390839303927542,31247.600727269917,11978.148421552898
2013-01-01,30060.1,12476.9,0,0,0,10.310953989981405,9.431634213631769,-0.02533494018240212,0.007215253248439524,0.009270053448106705,0.004875794255815079,10.358967928937808,9.395715098183357,31538.61442842676,12036.694020985246
2013-04-01,30430.3,12811.1,1,0,0,10.3231941015345,9.458067261617867,0.0122401115530959,0.02643304798609769,0.005510165528866996,0.012495452363111677,10.364478094466675,9.40821055054647,31712.87708159849,12188.041566524198
2013-07-01,30755.4,12822.9,0,1,0,10.333820867573174,9.458987913941614,0.010626766038672741,9.206523237477171e-4,0.004083678018224769,0.012223532460859774,10.3685617724849,9.42043408300733,31842.64704967279,12337.936746169446
2013-10-01,30778.2,12730.1,0,0,1,10.334561926150712,9.451724546980143,7.410585775389222e-4,-0.007263366961471007,0.009251400362475216,0.013150588188082925,10.377813172847375,9.433584671195412,32138.603018846836,12501.25941225325
2014-01-01,30876.4,12892.2,0,0,0,10.337747417031819,9.4643777563117375,0.003185490881106645,0.012653209331594084,0.009270053448106705,0.01383925369207817,10.387083226295482,9.44742392488749,32437.914761087675,12675.47020594767
2014-04-01,31242.9,12868.1,1,0,0,10.349547429350718,9.46250665954414,0.011800012318898823,-0.0018710967675978907,0.005510165528866996,0.004930909819060161,10.392593391824349,9.45235483470655,32617.14638530673,12738.126154913705
2014-07-01,31547,13152.6,0,1,0,10.359233776285055,9.484374736693336,0.009686346934337564,0.021868077149196807,0.004083678018224769,0.0137394835170544,10.396677069842573,9.466094318223606,32750.616648323332,12914.349264333228
2014-10-01,31893.8,13455.3,0,0,1,10.370166912516325,9.507128359456477,0.010933136231269458,0.022753622763140413,0.009251400362475216,0.01437086348569953,10.40592847020505,9.480465181709304,33055.011583709325,13101.27957250132
2015-01-01,32476.2,13283.3,0,0,0,10.388262792357265,9.494262886136815,0.0180958798409403,-0.012865473319662257,0.009270053448106705,0.003579267661665719,10.415198523653155,9.48404444937097,33362.85797955631,13148.256580291552
2015-04-01,32135.8,13420.7,1,0,0,10.37772595246984,9.504553570119137,-0.010536839887425486,0.01029068398232269,0.005510165528866996,0.022018930724553774,10.420708689182023,9.506063380095524,33547.20026136786,13440.978010869621
2015-07-01,32535.4,13659.8,0,1,0,10.390084006305637,9.522212491729164,0.012358053835797023,0.017658921610026468,0.004083678018224769,0.00824059423200307,10.424792367200247,9.514303974327527,33684.47633050837,13552.19728380446
2015-10-01,32128.6,13622,0,0,1,10.377501878175824,9.519441411801264,-0.01258212812981263,-0.002771079927899933,0.009251400362475216,0.005986295276714617,10.434043767562722,9.520290269604242,33997.550863004515,13633.568050112352
2016-01-01,33028.4,13866.8,0,0,0,10.405123076400157,9.537252772919633,0.027621198224332844,0.017811361118369007,0.009270053448106705,0.01652536468443607,10.443313821010829,9.536815634288677,34314.175271811575,13860.739610743905
2016-04-01,32865.8,13868.6,1,0,0,10.400187882406588,9.537382570939673,-0.004935193993569342,1.2979802004053909e-4,0.005510165528866996,0.00993421212508274,10.448823986539695,9.54674984641376,34503.77393784796,13999.121357002174
