time,na_item,values,geo
1989-07-01,Factor,100,DE
1989-10-01,Factor,100,DE
1990-01-01,Factor,100,DE
1990-04-01,Factor,100,DE
1990-07-01,Factor,100,DE
1990-10-01,Factor,100,DE
1991-01-01,Factor,100,DE
1991-04-01,Factor,100,DE
1991-07-01,Factor,100,DE
1991-10-01,Factor,100,DE
1992-01-01,Factor,100,DE
1992-04-01,Factor,100,DE
1992-07-01,Factor,100,DE
1992-10-01,Factor,100,DE
1993-01-01,Factor,100,DE
1993-04-01,Factor,100,DE
1993-07-01,Factor,100,DE
1993-10-01,Factor,100,DE
1994-01-01,Factor,100,DE
1994-04-01,Factor,100,DE
1994-07-01,Factor,100,DE
1994-10-01,Factor,100,DE
1995-01-01,Factor,100,DE
1995-04-01,Factor,100,DE
1995-07-01,Factor,100,DE
1995-10-01,Factor,100,DE
1996-01-01,Factor,100,DE
1996-04-01,Factor,100,DE
1996-07-01,Factor,100,DE
1996-10-01,Factor,100,DE
1997-01-01,Factor,100,DE
1997-04-01,Factor,100,DE
1997-07-01,Factor,100,DE
1997-10-01,Factor,100,DE
1998-01-01,Factor,100,DE
1998-04-01,Factor,100,DE
1998-07-01,Factor,100,DE
1998-10-01,Factor,100,DE
1999-01-01,Factor,100,DE
1999-04-01,Factor,100,DE
1999-07-01,Factor,100,DE
1999-10-01,Factor,100,DE
2000-01-01,Factor,100,DE
2000-04-01,Factor,100,DE
2000-07-01,Factor,100,DE
2000-10-01,Factor,100,DE
2001-01-01,Factor,100,DE
2001-04-01,Factor,100,DE
2001-07-01,Factor,100,DE
2001-10-01,Factor,100,DE
2002-01-01,Factor,100,DE
2002-04-01,Factor,100,DE
2002-07-01,Factor,100,DE
2002-10-01,Factor,100,DE
2003-01-01,Factor,100,DE
2003-04-01,Factor,100,DE
2003-07-01,Factor,100,DE
2003-10-01,Factor,100,DE
2004-01-01,Factor,100,DE
2004-04-01,Factor,100,DE
2004-07-01,Factor,100,DE
2004-10-01,Factor,100,DE
2005-01-01,Factor,100,DE
2005-04-01,Factor,100,DE
2005-07-01,Factor,100,DE
2005-10-01,Factor,100,DE
2006-01-01,Factor,100,DE
2006-04-01,Factor,100,DE
2006-07-01,Factor,100,DE
2006-10-01,Factor,100,DE
2007-01-01,Factor,100,DE
2007-04-01,Factor,100,DE
2007-07-01,Factor,100,DE
2007-10-01,Factor,100,DE
2008-01-01,Factor,100,DE
2008-04-01,Factor,100,DE
2008-07-01,Factor,100,DE
2008-10-01,Factor,100,DE
2009-01-01,Factor,100,DE
2009-04-01,Factor,100,DE
2009-07-01,Factor,100,DE
2009-10-01,Factor,100,DE
2010-01-01,Factor,100,DE
2010-04-01,Factor,100,DE
2010-07-01,Factor,100,DE
2010-10-01,Factor,100,DE
2011-01-01,Factor,100,DE
2011-04-01,Factor,100,DE
2011-07-01,Factor,100,DE
2011-10-01,Factor,100,DE
2012-01-01,Factor,100,DE
2012-04-01,Factor,100,DE
2012-07-01,Factor,100,DE
2012-10-01,Factor,100,DE
2013-01-01,Factor,100,DE
2013-04-01,Factor,100,DE
2013-07-01,Factor,100,DE
2013-10-01,Factor,100,DE
2014-01-01,Factor,100,DE
2014-04-01,Factor,100,DE
2014-07-01,Factor,100,DE
2014-10-01,Factor,100,DE
2015-01-01,Factor,100,DE
2015-04-01,Factor,100,DE
2015-07-01,Factor,100,DE
2015-10-01,Factor,100,DE
2016-01-01,Factor,100,DE
2016-04-01,Factor,100,DE
2016-07-01,Factor,100,DE
2016-10-01,Factor,100,DE
2017-01-01,Factor,100,DE
2017-04-01,Factor,100,DE
2017-07-01,Factor,100,DE
2017-10-01,Factor,100,DE
2018-01-01,Factor,100,DE
2018-04-01,Factor,100,DE
2018-07-01,Factor,100,DE
2018-10-01,Factor,100,DE
2019-01-01,Factor,100,DE
2019-04-01,Factor,100,DE
2019-07-01,Factor,100,DE
2019-10-01,Factor,100,DE
2020-01-01,Factor,100,DE
2020-04-01,Factor,100,DE
2020-07-01,Factor,100,DE
2020-10-01,Factor,100,DE
2021-01-01,Factor,100,DE
2021-04-01,Factor,100,DE
2021-07-01,Factor,100,DE
2021-10-01,Factor,100,DE
2022-01-01,Factor,100,DE
2022-04-01,Factor,100,DE
2022-07-01,Factor,100,DE
2022-10-01,Factor,100,DE
2023-01-01,Factor,100,DE
2023-04-01,Factor,100,DE
2023-07-01,Factor,100,DE
2023-10-01,Factor,100,DE
2024-01-01,Factor,100,DE
2024-04-01,Factor,100,DE
2024-07-01,Factor,100,DE
2024-10-01,Factor,100,DE
1996-01-01,HICPlocal,75.46666666666667,DE
1996-04-01,HICPlocal,75.7,DE
1996-07-01,HICPlocal,75.93333333333334,DE
1996-10-01,HICPlocal,75.83333333333333,DE
1997-01-01,HICPlocal,76.66666666666667,DE
1997-04-01,HICPlocal,76.73333333333333,DE
1997-07-01,HICPlocal,77.13333333333334,DE
1997-10-01,HICPlocal,76.96666666666667,DE
1998-01-01,HICPlocal,77.1,DE
1998-04-01,HICPlocal,77.4,DE
1998-07-01,HICPlocal,77.63333333333334,DE
1998-10-01,HICPlocal,77.2,DE
1999-01-01,HICPlocal,77.33333333333333,DE
1999-04-01,HICPlocal,77.8,DE
1999-07-01,HICPlocal,78.13333333333334,DE
1999-10-01,HICPlocal,78.06666666666666,DE
2000-01-01,HICPlocal,78.56666666666666,DE
2000-04-01,HICPlocal,78.63333333333334,DE
2000-07-01,HICPlocal,79.13333333333334,DE
2000-10-01,HICPlocal,79.39999999999999,DE
2001-01-01,HICPlocal,79.83333333333333,DE
2001-04-01,HICPlocal,80.6,DE
2001-07-01,HICPlocal,80.73333333333333,DE
2001-10-01,HICPlocal,80.56666666666666,DE
2002-01-01,HICPlocal,81.33333333333333,DE
2002-04-01,HICPlocal,81.53333333333333,DE
2002-07-01,HICPlocal,81.63333333333333,DE
2002-10-01,HICPlocal,81.5,DE
2003-01-01,HICPlocal,82.3,DE
2003-04-01,HICPlocal,82.23333333333333,DE
2003-07-01,HICPlocal,82.46666666666667,DE
2003-10-01,HICPlocal,82.5,DE
2004-01-01,HICPlocal,83.13333333333334,DE
2004-04-01,HICPlocal,83.83333333333334,DE
2004-07-01,HICPlocal,84.13333333333333,DE
2004-10-01,HICPlocal,84.26666666666667,DE
2005-01-01,HICPlocal,84.6,DE
2005-04-01,HICPlocal,85.13333333333334,DE
2005-07-01,HICPlocal,85.93333333333334,DE
2005-10-01,HICPlocal,86.16666666666667,DE
2006-01-01,HICPlocal,86.33333333333333,DE
2006-04-01,HICPlocal,86.96666666666667,DE
2006-07-01,HICPlocal,87.3,DE
2006-10-01,HICPlocal,87.3,DE
2007-01-01,HICPlocal,87.93333333333334,DE
2007-04-01,HICPlocal,88.7,DE
2007-07-01,HICPlocal,89.23333333333333,DE
2007-10-01,HICPlocal,89.93333333333334,DE
2008-01-01,HICPlocal,90.63333333333333,DE
2008-04-01,HICPlocal,91.4,DE
2008-07-01,HICPlocal,92.1,DE
2008-10-01,HICPlocal,91.46666666666668,DE
2009-01-01,HICPlocal,91.36666666666666,DE
2009-04-01,HICPlocal,91.56666666666666,DE
2009-07-01,HICPlocal,91.76666666666668,DE
2009-10-01,HICPlocal,91.8,DE
2010-01-01,HICPlocal,92.06666666666666,DE
2010-04-01,HICPlocal,92.5,DE
2010-07-01,HICPlocal,92.8,DE
2010-10-01,HICPlocal,93.23333333333332,DE
2011-01-01,HICPlocal,94.1,DE
2011-04-01,HICPlocal,94.83333333333331,DE
2011-07-01,HICPlocal,95.23333333333332,DE
2011-10-01,HICPlocal,95.63333333333334,DE
2012-01-01,HICPlocal,96.36666666666667,DE
2012-04-01,HICPlocal,96.8,DE
2012-07-01,HICPlocal,97.26666666666668,DE
2012-10-01,HICPlocal,97.56666666666666,DE
2013-01-01,HICPlocal,98.13333333333334,DE
2013-04-01,HICPlocal,98.3,DE
2013-07-01,HICPlocal,98.9,DE
2013-10-01,HICPlocal,98.9,DE
2014-01-01,HICPlocal,99.06666666666666,DE
2014-04-01,HICPlocal,99.2,DE
2014-07-01,HICPlocal,99.66666666666669,DE
2014-10-01,HICPlocal,99.33333333333331,DE
2015-01-01,HICPlocal,98.93333333333334,DE
2015-04-01,HICPlocal,100.43333333333334,DE
2015-07-01,HICPlocal,100.73333333333332,DE
2015-10-01,HICPlocal,99.86666666666666,DE
2016-01-01,HICPlocal,99.06666666666666,DE
2016-04-01,HICPlocal,100.33333333333331,DE
2016-07-01,HICPlocal,101.13333333333333,DE
2016-10-01,HICPlocal,100.9,DE
2017-01-01,HICPlocal,100.83333333333331,DE
2017-04-01,HICPlocal,102,DE
2017-07-01,HICPlocal,102.96666666666668,DE
2017-10-01,HICPlocal,102.46666666666668,DE
2018-01-01,HICPlocal,102.3,DE
2018-04-01,HICPlocal,103.96666666666668,DE
2018-07-01,HICPlocal,105.23333333333332,DE
2018-10-01,HICPlocal,104.66666666666669,DE
2019-01-01,HICPlocal,103.9,DE
2019-04-01,HICPlocal,105.7,DE
2019-07-01,HICPlocal,106.3,DE
2019-10-01,HICPlocal,105.9,DE
2020-01-01,HICPlocal,105.53333333333332,DE
2020-04-01,HICPlocal,106.43333333333334,DE
2020-07-01,HICPlocal,106.13333333333334,DE
2020-10-01,HICPlocal,105.26666666666668,DE
2021-01-01,HICPlocal,107.36666666666667,DE
2021-04-01,HICPlocal,108.73333333333332,DE
2021-07-01,HICPlocal,109.86666666666666,DE
2021-10-01,HICPlocal,111,DE
2022-01-01,HICPlocal,113.9,DE
2022-04-01,HICPlocal,117.73333333333332,DE
2022-07-01,HICPlocal,120.2,DE
2022-10-01,HICPlocal,123,DE
2023-01-01,HICPlocal,123.83333333333331,DE
2023-04-01,HICPlocal,125.83333333333331,DE
2023-07-01,HICPlocal,127.1,DE
2023-10-01,HICPlocal,126.7,DE
2024-01-01,HICPlocal,127.2,DE
2024-04-01,HICPlocal,129.06666666666666,DE
2024-07-01,HICPlocal,129.83333333333334,DE
2024-10-01,HICPlocal,129.9,DE
1996-04-01,Inflation,0.3091872791519447,DE
1996-07-01,Inflation,0.3082342580361087,DE
1996-10-01,Inflation,-0.13169446883232028,DE
1997-01-01,Inflation,1.0989010989011114,DE
1997-04-01,Inflation,0.08695652173912548,DE
1997-07-01,Inflation,0.5212858384013975,DE
1997-10-01,Inflation,-0.21607605877269412,DE
1998-01-01,Inflation,0.17323516673883813,DE
1998-04-01,Inflation,0.3891050583657735,DE
1998-07-01,Inflation,0.30146425495262824,DE
1998-10-01,Inflation,-0.5581794761700348,DE
1999-01-01,Inflation,0.1727115716752924,DE
1999-04-01,Inflation,0.6034482758620715,DE
1999-07-01,Inflation,0.42844901456727863,DE
1999-10-01,Inflation,-0.08532423208192459,DE
2000-01-01,Inflation,0.6404782237403929,DE
2000-04-01,Inflation,0.08485362749258858,DE
2000-07-01,Inflation,0.6358626536668079,DE
2000-10-01,Inflation,0.33698399326030093,DE
