DATE,PCEPI_PC1
2012-12-01,1.62438
2013-01-01,1.47081
2013-02-01,1.60461
2013-03-01,1.27699
2013-04-01,1.04123
2013-05-01,1.22903
2013-06-01,1.50551
2013-07-01,1.59511
2013-08-01,1.40479
2013-09-01,1.14129
2013-10-01,0.97611
2013-11-01,1.19547
2013-12-01,1.38810
2014-01-01,1.40541
2014-02-01,1.09398
2014-03-01,1.38970
2014-04-01,1.67311
2014-05-01,1.76617
2014-06-01,1.65146
2014-07-01,1.66924
2014-08-01,1.50624
2014-09-01,1.49725
2014-10-01,1.33294
2014-11-01,1.08576
2014-12-01,0.73226
2015-01-01,0.04140
2015-02-01,0.17070
2015-03-01,0.19935
2015-04-01,0.11032
2015-05-01,0.18529
2015-06-01,0.27043
2015-07-01,0.21973
2015-08-01,0.23927
2015-09-01,0.06570
2015-10-01,0.09550
2015-11-01,0.25388
2015-12-01,0.34596
2016-01-01,0.87115
2016-02-01,0.64033
2016-03-01,0.68551
2016-04-01,0.92591
2016-05-01,0.84869
2016-06-01,0.82961
2016-07-01,0.75508
2016-08-01,0.88821
2016-09-01,1.21977
2016-10-01,1.42700
2016-11-01,1.39740
2016-12-01,1.65716
2017-01-01,2.00521
2017-02-01,2.19714
2017-03-01,1.90636
2017-04-01,1.76747
2017-05-01,1.55777
2017-06-01,1.46555
2017-07-01,1.48563
2017-08-01,1.57191
2017-09-01,1.75744
2017-10-01,1.68204
2017-11-01,1.79371
2017-12-01,1.76641
2018-01-01,1.75765
2018-02-01,1.83761
2018-03-01,1.99829
2018-04-01,2.04663
2018-05-01,2.26621
2018-06-01,2.26831
2018-07-01,2.33861
2018-08-01,2.18041
2018-09-01,2.00996
2018-10-01,2.05310
2018-11-01,1.94189
2018-12-01,1.86469
2019-01-01,1.43183
2019-02-01,1.40017
2019-03-01,1.52181
2019-04-01,1.56634
2019-05-01,1.46555
2019-06-01,1.42607
2019-07-01,1.45393
2019-08-01,1.43042
2019-09-01,1.28395
2019-10-01,1.28856
2019-11-01,1.35828
2019-12-01,1.56376
2020-01-01,1.72531
2020-02-01,1.65798
2020-03-01,1.14777
2020-04-01,0.44214
2020-05-01,0.46309
2020-06-01,0.72378
2020-07-01,0.90907
2020-08-01,1.17392
2020-09-01,1.26575
2020-10-01,1.14418
2020-11-01,1.15454
2020-12-01,1.32589
2021-01-01,1.59358
2021-02-01,1.84617
2021-03-01,2.66662
2021-04-01,3.67474
2021-05-01,4.10917
2021-06-01,4.33164
2021-07-01,4.50537
2021-08-01,4.60782
2021-09-01,4.76077
2021-10-01,5.36125
2021-11-01,5.97292
2021-12-01,6.17939
2022-01-01,6.30921
2022-02-01,6.59147
2022-03-01,6.96708
2022-04-01,6.70154
2022-05-01,6.80138
2022-06-01,7.24887
2022-07-01,6.76001
2022-08-01,6.63689
2022-09-01,6.66079
2022-10-01,6.45651
2022-11-01,6.01829
2022-12-01,5.50877
2023-01-01,5.52511
2023-02-01,5.20932
2023-03-01,4.42313
2023-04-01,4.46254
2023-05-01,3.97951
2023-06-01,3.26157
2023-07-01,3.37385
2023-08-01,3.38712
2023-09-01,3.41634
2023-10-01,2.99429
2023-11-01,2.70172
2023-12-01,2.70179
2024-01-01,2.61161
2024-02-01,2.59043
2024-03-01,2.80963
2024-04-01,2.72068
2024-05-01,2.56701
2024-06-01,2.43617
2024-07-01,2.45444
2024-08-01,2.23618
