y,const,trend,,ly1,ly2,ly3,ly4,ly5,ly6,ly7,ly8,ly9,ly10,ly11,ly12
1968-10-01,4.27253,1,106,4.1074,4.06257,3.96023,3.99677,3.99213,3.80847,3.65811,3.37536,3.07683,2.60586,2.65796,2.46921
1968-11-01,4.28117,1,107,4.27253,4.1074,4.06257,3.96023,3.99677,3.99213,3.80847,3.65811,3.37536,3.07683,2.60586,2.65796
1968-12-01,4.33107,1,108,4.28117,4.27253,4.1074,4.06257,3.96023,3.99677,3.99213,3.80847,3.65811,3.37536,3.07683,2.60586
1969-01-01,4.2546,1,109,4.33107,4.28117,4.27253,4.1074,4.06257,3.96023,3.99677,3.99213,3.80847,3.65811,3.37536,3.07683
1969-02-01,4.09689,1,110,4.2546,4.33107,4.28117,4.27253,4.1074,4.06257,3.96023,3.99677,3.99213,3.80847,3.65811,3.37536
1969-03-01,4.24602,1,111,4.09689,4.2546,4.33107,4.28117,4.27253,4.1074,4.06257,3.96023,3.99677,3.99213,3.80847,3.65811
1969-04-01,4.37793,1,112,4.24602,4.09689,4.2546,4.33107,4.28117,4.27253,4.1074,4.06257,3.96023,3.99677,3.99213,3.80847
1969-05-01,4.41193,1,113,4.37793,4.24602,4.09689,4.2546,4.33107,4.28117,4.27253,4.1074,4.06257,3.96023,3.99677,3.99213
1969-06-01,4.58075,1,114,4.41193,4.37793,4.24602,4.09689,4.2546,4.33107,4.28117,4.27253,4.1074,4.06257,3.96023,3.99677
1969-07-01,4.72162,1,115,4.58075,4.41193,4.37793,4.24602,4.09689,4.2546,4.33107,4.28117,4.27253,4.1074,4.06257,3.96023
1969-08-01,4.58125,1,116,4.72162,4.58075,4.41193,4.37793,4.24602,4.09689,4.2546,4.33107,4.28117,4.27253,4.1074,4.06257
1969-09-01,4.6532,1,117,4.58125,4.72162,4.58075,4.41193,4.37793,4.24602,4.09689,4.2546,4.33107,4.28117,4.27253,4.1074
1969-10-01,4.55092,1,118,4.6532,4.58125,4.72162,4.58075,4.41193,4.37793,4.24602,4.09689,4.2546,4.33107,4.28117,4.27253
1969-11-01,4.6499,1,119,4.55092,4.6532,4.58125,4.72162,4.58075,4.41193,4.37793,4.24602,4.09689,4.2546,4.33107,4.28117
1969-12-01,4.91198,1,120,4.6499,4.55092,4.6532,4.58125,4.72162,4.58075,4.41193,4.37793,4.24602,4.09689,4.2546,4.33107
1970-01-01,4.8766,1,121,4.91198,4.6499,4.55092,4.6532,4.58125,4.72162,4.58075,4.41193,4.37793,4.24602,4.09689,4.2546
1970-02-01,5.02618,1,122,4.8766,4.91198,4.6499,4.55092,4.6532,4.58125,4.72162,4.58075,4.41193,4.37793,4.24602,4.09689
1970-03-01,4.79312,1,123,5.02618,4.8766,4.91198,4.6499,4.55092,4.6532,4.58125,4.72162,4.58075,4.41193,4.37793,4.24602
1970-04-01,4.86304,1,124,4.79312,5.02618,4.8766,4.91198,4.6499,4.55092,4.6532,4.58125,4.72162,4.58075,4.41193,4.37793
1970-05-01,4.77434,1,125,4.86304,4.79312,5.02618,4.8766,4.91198,4.6499,4.55092,4.6532,4.58125,4.72162,4.58075,4.41193
1970-06-01,4.53919,1,126,4.77434,4.86304,4.79312,5.02618,4.8766,4.91198,4.6499,4.55092,4.6532,4.58125,4.72162,4.58075
1970-07-01,4.46122,1,127,4.53919,4.77434,4.86304,4.79312,5.02618,4.8766,4.91198,4.6499,4.55092,4.6532,4.58125,4.72162
1970-08-01,4.44901,1,128,4.46122,4.53919,4.77434,4.86304,4.79312,5.02618,4.8766,4.91198,4.6499,4.55092,4.6532,4.58125
1970-09-01,4.48301,1,129,4.44901,4.46122,4.53919,4.77434,4.86304,4.79312,5.02618,4.8766,4.91198,4.6499,4.55092,4.6532
1970-10-01,4.64545,1,130,4.48301,4.44901,4.46122,4.53919,4.77434,4.86304,4.79312,5.02618,4.8766,4.91198,4.6499,4.55092
1970-11-01,4.60458,1,131,4.64545,4.48301,4.44901,4.46122,4.53919,4.77434,4.86304,4.79312,5.02618,4.8766,4.91198,4.6499
1970-12-01,4.58877,1,132,4.60458,4.64545,4.48301,4.44901,4.46122,4.53919,4.77434,4.86304,4.79312,5.02618,4.8766,4.91198
1971-01-01,4.43825,1,133,4.58877,4.60458,4.64545,4.48301,4.44901,4.46122,4.53919,4.77434,4.86304,4.79312,5.02618,4.8766
1971-02-01,4.32816,1,134,4.43825,4.58877,4.60458,4.64545,4.48301,4.44901,4.46122,4.53919,4.77434,4.86304,4.79312,5.02618
1971-03-01,4.41493,1,135,4.32816,4.43825,4.58877,4.60458,4.64545,4.48301,4.44901,4.46122,4.53919,4.77434,4.86304,4.79312
1971-04-01,4.2957,1,136,4.41493,4.32816,4.43825,4.58877,4.60458,4.64545,4.48301,4.44901,4.46122,4.53919,4.77434,4.86304
1971-05-01,4.39913,1,137,4.2957,4.41493,4.32816,4.43825,4.58877,4.60458,4.64545,4.48301,4.44901,4.46122,4.53919,4.77434
1971-06-01,4.59065,1,138,4.39913,4.2957,4.41493,4.32816,4.43825,4.58877,4.60458,4.64545,4.48301,4.44901,4.46122,4.53919
1971-07-01,4.5234,1,139,4.59065,4.39913,4.2957,4.41493,4.32816,4.43825,4.58877,4.60458,4.64545,4.48301,4.44901,4.46122
1971-08-01,4.55187,1,140,4.5234,4.59065,4.39913,4.2957,4.41493,4.32816,4.43825,4.58877,4.60458,4.64545,4.48301,4.44901
1971-09-01,4.24048,1,141,4.55187,4.5234,4.59065,4.39913,4.2957,4.41493,4.32816,4.43825,4.58877,4.60458,4.64545,4.48301
1971-10-01,3.88495,1,142,4.24048,4.55187,4.5234,4.59065,4.39913,4.2957,4.41493,4.32816,4.43825,4.58877,4.60458,4.64545
1971-11-01,3.69062,1,143,3.88495,4.24048,4.55187,4.5234,4.59065,4.39913,4.2957,4.41493,4.32816,4.43825,4.58877,4.60458
1971-12-01,3.63969,1,144,3.69062,3.88495,4.24048,4.55187,4.5234,4.59065,4.39913,4.2957,4.41493,4.32816,4.43825,4.58877
1972-01-01,3.84444,1,145,3.63969,3.69062,3.88495,4.24048,4.55187,4.5234,4.59065,4.39913,4.2957,4.41493,4.32816,4.43825
1972-02-01,3.95152,1,146,3.84444,3.63969,3.69062,3.88495,4.24048,4.55187,4.5234,4.59065,4.39913,4.2957,4.41493,4.32816
1972-03-01,3.75681,1,147,3.95152,3.84444,3.63969,3.69062,3.88495,4.24048,4.55187,4.5234,4.59065,4.39913,4.2957,4.41493
1972-04-01,3.50731,1,148,3.75681,3.95152,3.84444,3.63969,3.69062,3.88495,4.24048,4.55187,4.5234,4.59065,4.39913,4.2957
1972-05-01,3.30768,1,149,3.50731,3.75681,3.95152,3.84444,3.63969,3.69062,3.88495,4.24048,4.55187,4.5234,4.59065,4.39913
1972-06-01,3.00694,1,150,3.30768,3.50731,3.75681,3.95152,3.84444,3.63969,3.69062,3.88495,4.24048,4.55187,4.5234,4.59065
1972-07-01,3.06562,1,151,3.00694,3.30768,3.50731,3.75681,3.95152,3.84444,3.63969,3.69062,3.88495,4.24048,4.55187,4.5234
1972-08-01,3.06639,1,152,3.06562,3.00694,3.30768,3.50731,3.75681,3.95152,3.84444,3.63969,3.69062,3.88495,4.24048,4.55187
1972-09-01,3.37474,1,153,3.06639,3.06562,3.00694,3.30768,3.50731,3.75681,3.95152,3.84444,3.63969,3.69062,3.88495,4.24048
1972-10-01,3.33109,1,154,3.37474,3.06639,3.06562,3.00694,3.30768,3.50731,3.75681,3.95152,3.84444,3.63969,3.69062,3.88495
1972-11-01,3.42495,1,155,3.33109,3.37474,3.06639,3.06562,3.00694,3.30768,3.50731,3.75681,3.95152,3.84444,3.63969,3.69062
1972-12-01,3.34942,1,156,3.42495,3.33109,3.37474,3.06639,3.06562,3.00694,3.30768,3.50731,3.75681,3.95152,3.84444,3.63969
1973-01-01,3.23578,1,157,3.34942,3.42495,3.33109,3.37474,3.06639,3.06562,3.00694,3.30768,3.50731,3.75681,3.95152,3.84444
1973-02-01,3.36999,1,158,3.23578,3.34942,3.42495,3.33109,3.37474,3.06639,3.06562,3.00694,3.30768,3.50731,3.75681,3.95152
1973-03-01,3.95683,1,159,3.36999,3.23578,3.34942,3.42495,3.33109,3.37474,3.06639,3.06562,3.00694,3.30768,3.50731,3.75681
1973-04-01,4.56994,1,160,3.95683,3.36999,3.23578,3.34942,3.42495,3.33109,3.37474,3.06639,3.06562,3.00694,3.30768,3.50731
1973-05-01,4.85217,1,161,4.56994,3.95683,3.36999,3.23578,3.34942,3.42495,3.33109,3.37474,3.06639,3.06562,3.00694,3.30768
1973-06-01,5.29215,1,162,4.85217,4.56994,3.95683,3.36999,3.23578,3.34942,3.42495,3.33109,3.37474,3.06639,3.06562,3.00694
1973-07-01,5.29674,1,163,5.29215,4.85217,4.56994,3.95683,3.36999,3.23578,3.34942,3.42495,3.33109,3.37474,3.06639,3.06562
1973-08-01,6.20293,1,164,5.29674,5.29215,4.85217,4.56994,3.95683,3.36999,3.23578,3.34942,3.42495,3.33109,3.37474,3.06639
1973-09-01,6.14725,1,165,6.20293,5.29674,5.29215,4.85217,4.56994,3.95683,3.36999,3.23578,3.34942,3.42495,3.33109,3.37474
1973-10-01,6.62883,1,166,6.14725,6.20293,5.29674,5.29215,4.85217,4.56994,3.95683,3.36999,3.23578,3.34942,3.42495,3.33109
1973-11-01,7.18427,1,167,6.62883,6.14725,6.20293,5.29674,5.29215,4.85217,4.56994,3.95683,3.36999,3.23578,3.34942,3.42495
1973-12-01,7.72076,1,168,7.18427,6.62883,6.14725,6.20293,5.29674,5.29215,4.85217,4.56994,3.95683,3.36999,3.23578,3.34942
1974-01-01,8.4259,1,169,7.72076,7.18427,6.62883,6.14725,6.20293,5.29674,5.29215,4.85217,4.56994,3.95683,3.36999,3.23578
1974-02-01,9.1155,1,170,8.4259,7.72076,7.18427,6.62883,6.14725,6.20293,5.29674,5.29215,4.85217,4.56994,3.95683,3.36999
1974-03-01,9.60208,1,171,9.1155,8.4259,7.72076,7.18427,6.62883,6.14725,6.20293,5.29674,5.29215,4.85217,4.56994,3.95683
1974-04-01,9.56298,1,172,9.60208,9.1155,8.4259,7.72076,7.18427,6.62883,6.14725,6.20293,5.29674,5.29215,4.85217,4.56994
1974-05-01,10.10074,1,173,9.56298,9.60208,9.1155,8.4259,7.72076,7.18427,6.62883,6.14725,6.20293,5.29674,5.29215,4.85217
1974-06-01,10.40558,1,174,10.10074,9.56298,9.60208,9.1155,8.4259,7.72076,7.18427,6.62883,6.14725,6.20293,5.29674,5.29215
1974-07-01,10.81804,1,175,10.40558,10.10074,9.56298,9.60208,9.1155,8.4259,7.72076,7.18427,6.62883,6.14725,6.20293,5.29674
1974-08-01,10.69903,1,176,10.81804,10.40558,10.10074,9.56298,9.60208,9.1155,8.4259,7.72076,7.18427,6.62883,6.14725,6.20293
1974-09-01,11.40701,1,177,10.69903,10.81804,10.40558,10.10074,9.56298,9.60208,9.1155,8.4259,7.72076,7.18427,6.62883,6.14725
1974-10-01,11.57403,1,178,11.40701,10.69903,10.81804,10.40558,10.10074,9.56298,9.60208,9.1155,8.4259,7.72076,7.18427,6.62883
1974-11-01,11.49719,1,179,11.57403,11.40701,10.69903,10.81804,10.40558,10.10074,9.56298,9.60208,9.1155,8.4259,7.72076,7.18427
1974-12-01,11.46352,1,180,11.49719,11.57403,11.40701,10.69903,10.81804,10.40558,10.10074,9.56298,9.60208,9.1155,8.4259,7.72076
1975-01-01,11.09127,1,181,11.46352,11.49719,11.57403,11.40701,10.69903,10.81804,10.40558,10.10074,9.56298,9.60208,9.1155,8.4259
1975-02-01,10.40888,1,182,11.09127,11.46352,11.49719,11.57403,11.40701,10.69903,10.81804,10.40558,10.10074,9.56298,9.60208,9.1155
1975-03-01,9.51273,1,183,10.40888,11.09127,11.46352,11.49719,11.57403,11.40701,10.69903,10.81804,10.40558,10.10074,9.56298,9.60208
